review_id,review_score,translated_review,cleaned_text
8055e963f26f70c406ca517b2c2848e6,5,"Very good quality product, arrived before the promised deadline",good quality product deadline
ae728c1061bf163b4bd256ad9ee0bb83,1,This was the order Bucket With 128 Pieces - Assembling Blocks 2 pcs - R $ 25.00 each (NOT DELIVERED) Sold and delivered targaryen Eva Rug Nº Letters 36 Pieces Children 1 pcs - R $ 35.90 (THIS WAS DELIVERED),order bucket r sell rug n r
41926e45719f9b923357ea3bb222195f,5,Very fast delivery Congratulations,fast delivery
72730619a00e0ecdecf0a4ff862d8996,1,I bought three packs of five sheets each of transfer paper for dark tissue and received only two,buy transfer paper dark tissue receive
c5d83c2523ef15209c8faf5133a7bafb,4,"Only one product was missing, I received it today, thank you very much! All right! Att Elenice.",product miss receive today thank right
766fc608e4f2683020fb0a121d9db23e,5,"The thermal bag besides being beautiful is super spacious. Product as advertised and super fast delivery, delivered well before the deadline.",thermal bag beautiful super spacious product super fast delivery deadline
5c37d7ba6ef2f031c34bb4fda3454018,2,It took too long for delivery,take long delivery
83414f98136ce687f7eb69e555b2519c,5,super fast delivery .... arrived before the date ...,super fast delivery date
46d8249ea59101c7288936c3e6f155d7,3,Delayed delivery Delivery was split in two. There was no statement from the store. I came to think that they had only shipped part of the product.,delivery delivery split statement store come think ship product
346317f9aff540395fe46893611854f8,1,Does not work does not sync,work sync
2685a4800004a12ec09d27264ff1915f,5,Recommend to all customers,recommend
3f6d9482c57cdb5fc7012f7b9b5ed4c5,5,GREAT,great
a55012f5c7e74353e92986be15d133b6,5,"I really liked the bath game. The flower print, the embroidery, everything was very beautiful. Great product.",bath game flower print embroidery beautiful great product
ef8ae544c432bb1053ba5990bd0d6227,1,I DID NOT RECEIVE THE PRODUCT AND IS IN THE SYSTEM I RECEIVED BEYOND PAYING EXPENSIVE SHIPPING,receive product system receive pay expensive shipping
aaab917291fea34988b9a0cb60e0716f,1,"I bought the watch, unisex and sent a women's watch, much smaller than the specifications of the ad.",buy watch send s watch small ad
3f73914ab5fc1cd68ad6757c93644349,5,I always shop at lannister. For me it's the best online store,shop s good store
e2fd85e5df711bd91e6e96e13c741843,5,Excellent quality product,excellent quality product
42ae74a43661be8587b2e2db054179db,5,Great value for money,great value money
79927442ebcbf70b2021e1339bb9a51b,5,very good I liked the attention with the delivery,good attention delivery
14613df954694f243dedeaa2c8a3a5c2,4,"4 If it were glass, it would have broken; it came in the box with no protection inside, the box was very dented. Sorry .. but I like to buy from you.",glass break come box protection inside box sorry like buy
5f938e5f5f2e9a75710b54feeb9ea610,1,Medium The piece didn't fit,medium piece t fit
d7ea05bb4f9c77d606fd90b1a27e317d,1,I bought the product on February 25 and today March 29 was not delivered to my residence. I don't know if the post office in Brazil is terrible or it was the store itself that took a long time to post.,buy product today march residence don t know post office brazil terrible store take long time post
185cb85ede91009d7a8e685687c037ee,1,I made my purchase 30 days ago and haven't received my product yet. Need to improve deliveries,purchase day ago haven t receive product need improve
0c9b6ca9b3beaf0fd5d621f63844ea01,5,"delivery time I hope to receive this week, which would not be so extravagant, however ... more delay than that would make me give up baratheon.",delivery time hope receive week extravagant delay
c399eafa15aafaecdd1d9008f5b34ed6,5,"Delivered on time, I was happy with the purchase I made",time happy purchase
8ef36616bef00398b6e413c124f436c8,5,Beautiful watch I loved it,beautiful watch
57e994485c2ebd293e4fa9cd62e5bb96,3,"I bought two pendant chandeliers, with the targaryen partner and only one chandelier was sent to me. I filed a complaint, but still haven't received a response. I await solution from Lojas lannister.",buy pendant partner chandelier send complaint haven t receive response await solution
59d95e0b5b52d038dc3a022b7c912969,5,Super product Very good high quality!,super product good high quality
a0adf7a439816b22050d6bf433cbbff6,5,"Beautiful product, delivered well worth and on time. I recommend!",beautiful product worth time recommend
93fbbe62dcf6ffac99be013a1c68eb52,5,Very good,good
c40a6b6e0181e5ec0d12cbc2e12c49d3,1,lack of product and break 1 product was missing and the ones I received 1 came broken,lack product break product miss receive come broken
5241fcad10d7b45a1761f1e1e1536faa,5,"I highly recommend it arrived on time and the product is of excellent quality! No more back pain, I'm sleeping very well!",highly recommend time product excellent quality pain m sleep
06f47dacd0575e592bf6a17e922ce6cd,1,"I haven't received it yet, here it is describing it as delivered, but until now I haven't received it",haven t receive haven t receive
d36219dfadc3a5b07ab66670d23915ad,5,"I think tracking the product should be better and more accurate, but overall it was a great experience",think product well accurate overall great experience
5230dc021b8ce3fe53ed728af873a6d1,5,I haven't had the opportunity to test it yet,haven t opportunity test
4656b8ed41c17f6be05e911e211ecd8f,3,recommend I started using it now,recommend
8ef0597f9b1870cf46c81358425f0e24,5,nothing to declare,declare
6b341682ab39af9fa00d72d7388c903b,3,Note3 Buy a correct product on the cover but internal be another. ???????,note buy correct product cover internal
e4f0765c572989acb3d2d17c911ccce4,3,Super fast delivery,super fast delivery
557ae9c16a8ea3909db2fc5a01bc5151,3,Suspense I placed an order for 4 bottles of oil. 2 arrived in one day and the other 2 almost 48 hours later.,suspense order oil day later
5939898b5d2ac05454b2fe1aeecaad19,5,The product arrived very fast and of good quality I recommend the product,product fast good quality recommend product
a89a2b0c2014bc49a0f87f1eedb7b269,5,Delivery ahead of schedule,delivery ahead schedule
cde97e23deec3aa11e838402378706ee,1,"I can not! I am waiting for the arrival of the product I bought! As soon as that happens, I will have my opinion formed!",wait arrival product buy soon opinion form
3ff8285931cc9b54c9ad22ba78957f63,1,I bought two products and received only one. I sent two emails to the store and got no feedback. I am dissatisfied.,buy receive send store get feedback dissatisfied
cdc5c81bd9377ccbf9cb95f05648c31b,5,I recommend,recommend
fdb0e5a14fb6456e28ce7b3b054b8843,3,I would not recommend this store nor do I intend to buy again. The merchandise was delivered after the deadline and almost 1 month after purchase. On the lannister website they usually arrive before the deadline. I was very strange,recommend store intend buy merchandise deadline month purchase usually arrive deadline strange
7914fa319f12631679d1704d7dcd17df,5,Top Recommend,recommend
deb6f26fd2c11c556bc9245fd9203469,4,It met my expectation.,meet expectation
6591adaa3a855d13090d5fd151ad96c2,5,Delivery ahead of time. Very practical and easy to handle product.,delivery ahead time practical easy handle product
d47fc43c8cd140d66190c178ecfb438d,2,disappointed,disappointed
c4a20a1d2d634f814cca9311edd60e99,5,"great product not only came manual, but without problems.",great product come manual
81e7291e2f92b492eb0340f4406c6897,4,"One of the pieces did not fit, it was of a different diameter. I had to saw and hammer in order to fit and fit. Otherwise, everything is ok.",fit different diameter saw hammer order fit fit
eb6d75bedecae7b3dbea11b8530637d8,5,Excellent product.,excellent product
593f9b33c3a4c74e37b7b7c49f0cedc4,5,All right,right
a36150969fe6bd09ed011dd78aeb0189,1,"Delay in delivery, I hated the service and NEVER buy more. baratheon when selling by themselves was much better!",delay delivery service buy sell well
2c303fb6b2f9c16f324f7deb88e736fe,5,Very good product,good product
43992f6d75ecc01ddd8c748b9362bc81,1,my product did not arrive ... according to the screening is stopped in Ribeirão Preto sp ...,product arrive accord screening stop o
8b4c14417bccab81710772ecb8b23fd6,1,product failed in 1 time of use.,product time use
3528296df9092b7a7b88bd036e3f8a8e,5,super show product recommend professional quality product,super product recommend professional quality product
252b934455d29ca8cc070504686ecc52,1,so far I haven't received the product.,far haven t receive product
b736ff4204044e49e39062584d06fa74,1,The store advertises one product and delivers another.,store product
c7475b2c4448321756b6136327f1394e,5,very good and fast when I saw it had already arrived,good fast see
44cdb9cb9c9f8d6bcea59e0b61b8df6a,5,The product arrived very well,product
927eaaaaeebc8579c91927f2d0b40049,5,great,great
65b934c20d632fc2df0fd4723464fa78,3,"They made a mistake in the speaker box Despite being delivered quickly, they replaced the METEORO box with the BORNE box. When I tried to complain on lannister the system was down. The guitar and accessories were correct.",mistake speaker box despite quickly box borne box try complain system guitar correct
af9e54a155c1248534f1fa60179c6393,5,Very satisfied,satisfied
ea12cd666e65ef6cfc48e7ddd8596833,4,congratulations to store and dealer although it took a while,store dealer take
8023f946d9b261cb0ecb604703427917,5,"Great purchase Delivered on time, with good validity period.",great purchase time good validity period
4faa35770cc4dbf5f2725bcebdd1bdc6,5,"The set of towels is beautiful more beautiful than in the photo, I loved it.",set beautiful beautiful photo
c239d18d7e310e477d5e7b76b362db1d,1,product was delivered with one of the handles with problems (1 fixing pin is missing),product fix pin miss
b3df5ccdfff218d039dd166e3da759f5,2,02/14 was scheduled for delivery of the order and the tracking marked that the product had already been delivered on the date but in reality was not delivered. The product was only delivered on 02/28.,delivery order mark product date reality product
c11da18223114c483b887b9914045f79,2,"SHOP BEYOND FREIGHT TO BE VERY EXPENSIVE. THE PRODUCT TAKES ALMOST 30 BUSINESS DAYS, TO ARRIVE AT YOUR HOME",shop freight expensive product business day arrive home
6f885e2fd69412264d9e74e805175d53,1,"I received it very quickly, but another product came, and not the one I ordered, the model came different, the color, came a cape that has no zipper, anyway, I do not recommend it.",receive quickly product come order model come different color come cape zipper recommend
b83ba2a97932a8a661f5bf8eac7642bd,5,I always bought at Stark and I am satisfied.,buy stark satisfied
a6c58307ee35180cf0dc1d39466db359,5,I made the purchase by table and thanks to God everything worked out I am very grateful you can trust.,purchase table thank god work grateful trust
f7eb8792e67d53e01a224bfa9b6802b2,1,"Horrible They canceled my purchase the day before delivery, I called lannister and the attendants didn't know what was going on, a mess, now I'm waiting to see if it will be charged",horrible purchase day delivery t know go mess m wait
4940d39efaa50e020312724f6a6e5efa,5,I highly recommend quality product and efficient delivery. I received it long before the arrangement. I recommend,highly recommend quality product efficient delivery receive long arrangement recommend
7bd303edd3865abe8addb98d2a2e6577,5,Very good. Good product came in on time arrived in 08 days are to be congratulated.,good good product come time day
7dada5b776c67a2995d44b56122c1aba,1,I sent 2 requests through the site to change the address. I got the message that they were going to call me in 48h but they didn't.,send site change address get message go h t
11caa17c5966423a2f73ded6a13ad638,5,"Everything ok, the baratheon is always responsible with his deliveries.",responsible
4dd68a0dee5ede8a445f797c46bca436,1,the finish that was in the photo was beautiful the one that arrived was an ugly synthetic with an all smudged finish that I didn't like,finish photo beautiful ugly synthetic smudge finish t like
f55ac350831de6694d569e9c0176dacd,1,And very cluttered I bought three products but it didn't come in the backlands it came separately and on a separate date,buy t come backland come separately separate date
3fb929ba2924ff0a47858efb007ceee1,5,great fast delivery,great fast delivery
d0c2b9d96c387604a96ae43e7126cf9b,4,was good,good
58b27f28e98acdaec89d736d8ed79dd5,5,Right merchandise delivered on time. Thankful,right merchandise time thankful
96ee030286f50f61c6d199bdfaa5573d,1,", too bad !",bad
6280ca6a9e8c3a56b668ec8c5396caaf,1,The days are past.,day past
968989a3b5192c9b9436fe7546acaca4,3,When buying the kit I understood that I would receive 2 bottles of 60 capsules (each) and not 2 bottles with 60 capsules in total. I just won't return it because I need the product.,kit understand receive total win t return need product
dc92cf357f5eb4d61b6a95fed53d17e1,5,Delivery well before the perfect deadline !!,delivery perfect deadline
382d855ffdd4f5e66594dbfb1566e96f,5,10 Every time I buy more I am satisfied congratulations on honesty with your customers 👏👏👏👏?,time buy satisfied honesty
3db041dd46e9935752c691a2093799c2,1,Product do not recommend not reading on any device,product recommend read device
6aba6ff5d6b3f6762a2ad9a9f1fbdfcf,4,recommend everything fast and efficient.,recommend fast efficient
2fe0ca8fe19ae1ab68408a1235bbd054,4,Arrived today without comments,today
610a49f3e897c9295111d0a8c0d6e65b,5,Very good! What I expected!,good
f3401a1de0c152923ba58cf7b7d2b84a,2,Bad quality! The protective cover is not exactly what I expected leaves something to be desired in terms of material and quality.,bad quality protective cover exactly leave desire material quality
f4d74b17cd63ee35efa82cd2567de911,3,"The packaging left something to be desired, the product was almost undamaged, the box was all wrinkled.",leave desire product undamaged box wrinkle
3a336941a21a96535c9b70e3d28be499,5,EXCELLENT PRODUCT Congratulations. Product delivered well before the deadline. It met my needs.,excellent product product deadline meet need
2e21bb397364fa799a4a1609fd2e6e3b,5,great arrived well before the deadline.,great deadline
5e5ae81fbed794a34c7b44744b168a5f,5,I think they should send by mail instead of pac,think send mail instead pac
cc4e1115d5c84efa5976f12404569949,5,Product exactly as described. It arrived well before the deadline!,product exactly deadline
c5efc0219f2949a8f81d5e8b39b9ca0c,3,I received the product correctly,receive product correctly
8a310b56e4d05a7786d23986a1a49ae9,4,"Recommend The order arrived before the agreed, very good.",recommend order agree good
5fb1fed9d3ca845936082614bd07cec2,5,STORE 10,store
b54c1776f5955ced2f54c711c665a025,1,Nor did the invoice,invoice
264527c876f418e7b43e09f0079942e2,5,Arrived before the deadline! Excellent product!,deadline excellent product
d6c0b888949f0c3f236d67f588913930,4,I recommend professional work from the lannister stores. I indicate for sure,recommend professional work indicate sure
f4d2c6ed9bebda9d41573e30f3d629b5,1,"The MP3 player does not work, even if you change the battery several times. I had to return it.",player work change battery time return
91283389ca8846dd242990c799a85f5e,5,super recommend the product which is very good!,super recommend product good
308400be88a43702db20fbb71b6cff74,4,The store posted the product and the mail took a while,store post product mail take
513f392b12d02aef2c303846b4710eb6,4,Very good from purchase to delivery td straight and fast,good purchase delivery straight fast
396ca63a1ddba5ae532c35316166b90f,5,Delivery and product quality as expected.,delivery product quality
0272d07f5d34a8c3d31272e7ff967e7b,3,The bag is very beautiful on the outside But inside it has no lining And it is very fragile,bag beautiful outside inside lining fragile
e5a35475f7efa7f6abac5febba3fb464,5,To this day I am satisfied with the submarine,day satisfied submarine
c25f2dc8ab33facf7a72f76c8a47d75a,5,Excelent reception,reception
f8499130452fd0f108a9a24454f51c32,1,On May 19th I used it and the strap broke without much weight,th strap break weight
72093b147d797e6abbdf569bf07bf57f,5,Wonderful Brazilian champion's towel,wonderful champion s towel
4292f07bf6cb46aa563a430e6d9cf10b,5,The delivery was carried out well ahead of schedule. Good product ... I'm satisfied,delivery carry ahead schedule good product m satisfy
1545c0d2c381662ba869e91e4c1aaca1,5,So far so good I am waiting for the delivery of the product,far good wait delivery product
67c79a3a4b7d8e4fc8590fb8ca4d3f8a,5,The product was delivered before the deadline.,product deadline
5fdcb2a2c4de7fbbf5715788535f4a96,4,"I really liked the product, it was exactly the bottle I expected, delivery on time, congratulations, I recommend the store",product exactly bottle delivery time recommend store
8eaebf463e205cdcc126801ca343a33f,2,I bought the product in black and arrived in red.,buy product black red
90febfe6ab599694729eaba46be1d3ad,5,"this is the second time I buy in this store, super efficient, fast delivery and before the contracted term, well packaged product, Note 10 Thank you very much",second time buy store super efficient fast delivery contract term product note thank
380884f53f113319198a99516da2ada4,4,recommend great,recommend great
b50001aa0bbd7557c4ad80eee167a2a1,5,Great,great
ed2842d0aa7ac6285c7547d17f17da4d,1,"I bought a product and another came. I sent a message informing the error, but I didn't get a response. Thank you",buy product come send message error t response thank
9a8d24623d56c13f950247baa73f4c80,1,the product takes a long time to arrive!,product long time arrive
4b4f1f1ad3fcac5ed98109ed67b1d072,3,We only received a watch by mail att,receive watch mail
9d14b1424ca737608bc50f9d3c1a78bb,3,"Good quality product, exactly as advertised, and the low price is one more attraction.",good quality product exactly low price attraction
9ba260ed7e6a228e5e9910e035a70c7f,1,"Only one unit was delivered, instead of two.",unit instead
a3d308c5563d93a99c7896bf7ff94e80,4,"I loved the product;; I received it before the agreed deadline, it was very beautiful",product receive agree deadline beautiful
3f71ee62eb5acdc9b5121f6d99901583,5,Perfect!! Very satisfied.,perfect satisfied
668aad714767396c2b7d949a27913bb7,4,Lol pet Great product but too expensive !!!,pet great product expensive
ddda0fa55fc550a8f14f6ae00652fcf9,5,"Great products, fast delivery. Super recommend !!!",great fast delivery super recommend
cf1917bdb6925187eb7886ad0a11e745,4,good,good
699b866b71b5ad31f1faa2b1ab4fe1a6,2,yes I received more defective the fittings are two equal and do not close,yes receive defective equal close
73a58bd10f2667a04ee95df0071d5988,1,I haven't received it yet,haven t receive
30a4f0f115950517b46d48046b609bd1,5,Excellent I had an excellent after sale through Mr. Renato,excellent excellent sale
16e2b94c7b6c1107c0abec3a77ae3afa,5,"I really liked the product, the delivery came before the deadline. I recommend it, it fits well in the cell phone, it does not take away the elegance of the device, like other covers that make it monstrous with its size.",product delivery come deadline recommend cell phone away elegance device like monstrous size
0a9d200bdef258e70eb48398e1287d6d,5,1000000 Very good,good
41b377e06cb52feb5630c3ce360cd8cd,1,"So far I haven't received it. I bought this device for health reasons, so I don't recommend this store.",far haven t receive buy device health don t recommend store
cea53cba54c5c3a5d28db7b0bb013ace,5,"I recommend it to everyone. Great quality product, delivered without problems.",recommend great quality product
19910e37f2130c56f553edfbdc0c65fb,5,Great cost x benefit Product arrived on time. It came as described and is excellent.,great cost x benefit product time come excellent
4564316d686dc211b70511906d579588,4,"the product arrived before the deadline, and I really liked it !! now my 3 year old boy will make the most of it !!",product deadline year old boy
1ff86f2ca823caab2e02507d2633081d,1,"I would like to know when my product will arrive? Since the delivery date has passed, I would like an answer I am waiting!",like know product arrive delivery date like answer wait
30aadf8886ca1e6aea4a06c0609a62c8,4,Store Note 10,store note
179ac76606aa67e8f50238e3bb1d8933,5,Congratulations. I received it before the deadline. everything correct as agreed.,receive deadline correct agree
d49137ea593f67aa74446503e88aa91d,1,The delivered product differs from the order it is an inferior product! I would like the problem to be solved! I'm not satisfied with the procedure!,product order inferior product like problem m satisfied procedure
4fa8392da03c452f77faa3f2952fa346,5,Good Really good!,good good
d3b4d016ccfc708c50866b550f903b9d,2,"I bought the product, paid at the boleto and only received half the product, they announced one thing and sent another. Very dissatisfied 😡😡😡",buy product receive half product thing send dissatisfied
1708bf606fae9970482894dabb9e2fa8,5,Delivery before the deadline very well maintained product.,delivery deadline product
cbd63dc4f83043f2714e48fe8a83957d,5,Great quality product. I loved it!,great quality product
c1f198cdce8b992a9cddc3aaba11e689,5,"Optimal product and delivery Despite the delay in issuing the invoice, after delivery the delivery was fast and the product came well packaged. I recommend.",optimal product delivery despite delay issue invoice delivery delivery fast product come recommend
19074f5809403265fc47263ea93325ee,2,"I bought the product on the beginning of March and did not receive it on time, even opening a protocol to solve my situation",buy product beginning march receive time open protocol solve situation
c54629f4fc4dcf65a10efb35322ec769,1,"I did not receive the product, nor any contact from the .seller",receive product contact seller
1c6d1543dc13cb2465c63ac5de6cb4d0,1,I can't even ratrear :(,t
31b60e2f8f2acfe8f213ca252f1066c1,5,note 10,note
1f836d160f50247a394034abd93b7c24,3,Waiting for the installer,wait installer
a835f8e62dd58cf9c07678bdd7cfb935,2,I bought a product to be delivered by that store and I still haven't received it because the delivery date has passed,buy product store haven t receive delivery date
d92b28e1533de65ba31b2d6756a72faf,5,Great service,great service
b66f1f980a4832698b613bcce72bb779,4,"Great buy. Great product. I just missed a communication between the purchase and the arrival of the product, just contact. But thanks.",great buy great product communication purchase arrival product contact thank
782be3066f784bbc0a5f4f5256172488,1,came as per the order plus the after sales did not answer any of my questions,come order plus answer
1489ef235189b9e5e1a9d4308bf228bd,1,"I bought two backpacks, I received only one, Christmas is coming and so far nothing!",buy receive come far
26c45530efaca67680b0df712600454a,5,Perfect😁,perfect
b0ac2d014efe743e181a5e8dc9cfb8ad,3,"The price was great, the delivery time is long (more than 1 month to deliver). I bought 2 cartridges and delivered only 1, complained and sent the other still within the delivery period.",price great delivery time long month deliver buy send delivery period
edd86e0af4dc62b340c60d846643cbf9,5,"OK PRODUCT term was extended, but delivered within the term disclosed in the advertisement. Chair as photo, comes to assemble, easier and more beautiful",product term extend term disclose advertisement chair photo come assemble easy beautiful
5b6a0d5350fe3036f41d543d06eb7a5b,5,"Excellent Simply beautiful !! I loved the product!! Perfect size !! I already bought several products, I have been buying at baratheon for years !!",excellent simply beautiful product perfect size buy
18abfe82de3995ac67d737ecc8189a31,4,VERY GOOD! ARRIVED WITHIN THE TERM.,good term
c374da82d5c67281544168e3cfb22be3,5,"Great, price, delivered ahead of time and great quality product.",great price ahead time great quality product
bbb937e9c2b62a2205af03e8a7fed42b,2,"I bought a Christmas present watch for my son and it hasn't arrived yet. I sent messages and in the last conversation the watch would arrive yesterday, but I didn't receive anything.",buy present watch son t send conversation watch arrive yesterday t receive
77ac6288ca3e09284cb264d6b0b4d7a2,5,could only deliver faster end of year,deliver fast end year
284e9d66ebdec028eab3b817447014ac,5,"Great sale, everything perfect.",great sale perfect
b297a6deb0afe6ada1c2b0fe0365de83,5,Great quality product !! It arrived before the expected time. Loved <3,great quality product time
b495f6f95880a213da87b39539fefad9,5,"It came well packaged, fast shipping!",come fast shipping
88b1ded591cdd8c4f48c5285c7599392,5,I am very satisfied with my purchase and receipt of the product; within the time limit!,satisfied purchase receipt product time limit
608e890852fc78c3854d83a0cfab8557,3,"So far I haven't received anything, the bedspread was scheduled for the day before yesterday (12/18) and so far nothing",far haven t receive bedspread day yesterday far
cb0de6745dc7d44ff821eabbc2613df9,1,"The brushes came crumpled, not consistent with some photos, but consistent with the description. They are weak, do not fit in the case and a cool shaft",brush come crumple consistent consistent description weak fit case cool shaft
0871369412bd49aef1b9f916700a9495,5,Product corresponding to my expectations! It was delivered before the deadline!,product correspond deadline
e47020cf52099bce9dc57524ea41218b,4,I recommend the shop I always buy at lannister.,recommend shop buy
71f7323f884804c6d38bbcd658e07318,1,"The product came different from the one shown in the photo, it is not luxurious, nor quilted as I said.",product come different show photo luxurious quilt say
180e67ff4510555ef7d76de7fe42c11c,5,"It was all normal, as it is even an internet purchase. Thank you.",normal purchase thank
7dd163fe175817e9e57f965a4382ecab,4,I recommend it to everyone. Good bargain.,recommend good bargain
500dab66d2c2cc1b14d64d0e1aa346db,4,"Product arrived on time. It is cost-effective, but the bag is not lined and the handle is plastic. I am satisfied.",product time cost effective bag line handle plastic satisfied
9e96e374304db42a8aecd4a97d53cc1b,5,Super recommended I am completely satisfied with my purchase. And I recommend it. The only thing I do not agree with is the freight charge. Very much.,super completely satisfied purchase recommend thing agree freight charge
32cba2bc8e4b8a57f2063c108e2d6693,3,I bought 02 only sent 01,buy send
86b8f28757b213a5f9888c8f31f15dc5,2,"it seems to keep the food well without wilting (potato straw) but the lid is strange, it seems that it does not close. and the lid's stainless steel is ugly.",food potato straw lid strange close lid s stainless steel ugly
5bed105c6756af72c550e78d4e9bcba7,1,"I am waiting for an answer until today, about my products, they have already been paid and I have NOT received them yet, they were the same 03 and I need to talk to people and NOT machine or recordings.",wait answer today receive need talk people machine
21d7fa60f781a98de43940c2573d07ee,5,Super recommend Delivery and perfect product!,super recommend delivery perfect product
3e0449b3abd6563eef3fab99a2e5a9ec,5,Congratulations 😤 for the excellent quality service.,excellent quality service
035cdc5e7ad5192da517cd947ed17a98,5,Excellent Store,excellent store
19205689f830b4a8f7372c7655e7c4a7,4,Product delivered in advance.,product advance
073075873e2d7603248cfc951ad7c2c8,5,I liked to buy I received the product before the deadline and of good quality. I recommend.,buy receive product deadline good quality recommend
505f890341880ff7158b09cabfd90ece,5,"Super recommend, stark Always arriving before the planned date = D",super recommend stark date d
f8629b549f7dbe5911ac684cd67b75ad,4,Post office did not deliver,post office deliver
2f17f8ffe35062ac9d76c4dde9c181eb,4,On-time delivery and product in perfect condition Congratulations to the team,time delivery product perfect condition team
cb0afd21795569cda373d39c5a0ca502,3,I have not received the product,receive product
